Time,Time Delta,floor2_temp,floor3_temp,floor4_temp,floor5_temp,floor6_temp,floor7_temp,floor8_temp
47:12.8,23676.49977,74.63583333333334,73.17076923076922,60.02727272727273,73.21727272727273,72.71700000000001,74.32333333333332,71.92
49:17.6,23801.36791,74.62166666666667,73.17153846153846,59.96818181818182,73.22272727272728,72.706,74.30888888888887,71.94
51:22.6,23926.30605,74.62583333333333,73.14923076923077,60.00818181818182,73.21909090909091,72.702,74.34111111111112,71.935
53:42.6,24066.27606,74.63083333333333,73.14153846153846,60.00636363636364,73.21545454545455,72.72900000000001,74.35555555555555,71.93166666666666
55:47.8,24191.49722,74.6275,73.14999999999999,60.04363636363635,73.20363636363635,72.72900000000001,74.38999999999999,71.92999999999999
57:52.5,24316.24736,74.62166666666666,73.15307692307691,60.0109090909091,73.21454545454544,72.74499999999999,74.4111111111111,71.92333333333333
59:57.5,24441.25551,74.62583333333333,73.1630769230769,60.027272727272724,73.22545454545454,72.756,74.40333333333334,71.94166666666666
02:02.5,24566.23266,74.6575,73.16923076923077,60.02181818181818,73.22363636363637,72.76599999999999,74.39333333333335,71.97333333333333
04:22.6,24706.28367,74.64583333333333,73.17615384615384,60.01363636363637,73.19,72.75099999999999,74.35555555555555,71.96499999999999
06:27.5,24831.26381,74.64333333333333,73.18307692307691,60.04636363636366,73.20636363636363,72.75,74.43222222222222,72.0
08:31.1,24954.85997,74.68833333333333,73.16769230769229,60.0609090909091,73.19727272727273,72.733,74.41333333333333,71.99
10:37.5,25081.2332,74.68250000000002,73.1853846153846,60.041818181818186,73.19454545454545,72.75399999999999,74.44222222222221,71.99333333333333
12:40.1,25203.82421,74.70916666666666,73.17538461538462,60.04818181818182,73.24454545454546,72.76499999999999,74.41777777777777,71.99666666666666
14:52.6,25336.32379,74.71750000000002,73.18384615384615,59.941818181818185,73.25090909090909,72.75699999999999,74.42222222222222,72.01166666666666
17:12.7,25476.4608,74.6975,73.19,59.89090909090908,73.25,72.761,74.43,72.02333333333333
19:32.9,25616.64182,74.71249999999999,73.19846153846153,59.88818181818181,73.2609090909091,72.78399999999999,74.43444444444444,72.03666666666668
22:07.6,25771.33667,74.69416666666666,73.18923076923076,59.95636363636363,73.25181818181818,72.78200000000001,74.48555555555555,72.04666666666667
24:12.6,25896.35082,74.70583333333333,73.19923076923077,59.99181818181819,73.22,72.803,74.47888888888889,72.08
26:17.7,26021.39097,74.71500000000002,73.20153846153845,59.99727272727273,73.25454545454544,72.773,74.49333333333333,72.10000000000001
28:21.5,26145.23205,74.69083333333334,73.21384615384615,59.99909090909091,73.25727272727272,72.77600000000001,74.4688888888889,72.10166666666667
30:42.6,26286.36312,74.71,73.19846153846154,60.04545454545455,73.27363636363636,72.761,74.45666666666666,72.125
33:02.7,26426.38113,74.71083333333333,73.21461538461539,60.02636363636364,73.28545454545454,72.77,74.44222222222223,72.14333333333333
35:22.6,26566.32314,74.74083333333333,73.2076923076923,60.09090909090909,73.26363636363637,72.77599999999998,74.49888888888889,72.15666666666667
37:42.6,26706.30114,74.725,73.1876923076923,60.059999999999995,73.25181818181818,72.773,74.40333333333334,72.21
40:23.9,26867.58837,74.72833333333332,73.21076923076922,60.07272727272727,73.23181818181818,72.779,74.39444444444445,72.31333333333333
43:00.3,27023.99031,74.7375,73.20461538461538,60.032727272727264,73.25363636363636,72.773,74.40888888888888,72.38666666666667
45:51.7,27195.37912,74.73333333333333,73.19923076923077,60.040000000000006,73.25363636363636,72.759,74.42111111111112,72.355
48:12.6,27336.36318,74.72,73.21230769230769,60.033636363636354,73.25272727272726,72.74900000000001,74.41888888888889,72.25333333333333
50:17.6,27461.35033,74.71749999999999,73.18923076923076,60.034545454545444,73.22181818181818,72.71599999999998,74.37555555555555,72.21
52:42.2,27605.8986,74.72166666666668,73.16923076923077,60.07909090909092,73.23363636363636,72.72200000000001,74.37222222222222,72.18166666666667
55:11.5,27755.25714,74.72250000000001,73.16538461538461,60.04363636363637,73.26272727272726,72.763,74.4588888888889,72.17333333333333
57:27.2,27890.9699,74.7275,73.16615384615385,60.036363636363646,73.2218181818182,72.752,74.4488888888889,72.14666666666666
